id,source,difficulty,lhs,rhs,target_lhs,target_rhs,hand_found,hand_nodes,hand_time_s,learned_found,learned_nodes,learned_time_s,ratio,hand_err,learned_err
math_01,MATH-style,3,(x + 2)/(x - 1),3,x,5/2,True,5,0.48,True,20,5.94,0.25,,
math_02,MATH-style,3,3/(x + 1),6/(x + 3),x,1,True,6,0.49,True,2,0.59,3.0,,
math_03,MATH-style,4,x**2 - 5*x + 6,0,x,2,True,1,0.22,True,1,0.38,1.0,,
math_04,MATH-style,4,2*x**2 + 7*x - 4,0,x,1/2,True,1,0.14,True,1,0.23,1.0,,
math_05,MATH-style,5,1/(x - 1) - 1/(x + 1),2/3,x,2,True,6,1.12,True,19,9.11,0.3157894736842105,,
amc_01,AMC-style,AMC10,x**2 - 7*x + 12,0,x,3,True,289,14.04,True,31,5.7,9.32258064516129,,
amc_02,AMC-style,AMC10,3*x + 5,2*x - 7,x,-12,True,5,0.29,True,2,0.24,2.5,,
amc_04,AMC-style,AMC12,x + 1/x,5/2,x,2,True,7,0.98,True,7,2.97,1.0,,
amc_05,AMC-style,AMC10,(2*x + 3)**2,49,x,2,True,2,0.28,True,5,2.28,0.4,,
text_01,textbook-style,Lial-3.1,3*(x - 4) + 2*(x + 1),4*x - 8,x,2,True,6,0.47,True,5,1.84,1.2,,
text_02,textbook-style,Stewart-1.5,5*(2*x - 3) - 4*(x - 1),17,x,14/3,True,1,0.07,True,1,0.15,1.0,,
text_03,textbook-style,Lial-2.3,(x + 1)/2 + (x - 3)/4,5,x,7,True,1,0.08,True,1,0.17,1.0,,
text_04,textbook-style,Stewart-3.6,(x - 3)**2,16,x,7,True,2,0.24,True,4,0.97,0.5,,
text_05,textbook-style,Stewart-3.5,x**3 - 8,0,x,2,True,2,0.94,True,14,13.31,0.14285714285714285,,
