id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
hard_motif_v1_ex1_000,v1_ex1,hard,True,76,0.0,True,55,0.0
hard_motif_L1_000,L1,hard,True,16,0.0,True,3,0.0
hard_motif_L3_000,L3,hard,True,914,0.0,True,4,0.0
hard_motif_P3_000,P3,hard,True,886,0.0,True,3,0.0
hard_motif_P4_000,P4,hard,True,257,0.0,True,40,0.0
hard_motif_R1_000,R1,hard,True,9,0.0,True,3,0.0
hard_motif_R2_000,R2,hard,True,9,0.0,True,4,0.0
hard_motif_v1_ex1_001,v1_ex1,hard,True,163,0.0,True,58,0.0
hard_motif_L1_001,L1,hard,True,10,0.0,True,3,0.0
hard_motif_L3_001,L3,hard,True,9,0.0,True,4,0.0
hard_motif_P3_001,P3,hard,True,26,0.0,True,2,0.0
hard_motif_P4_001,P4,hard,True,258,0.0,True,45,0.0
hard_motif_R1_001,R1,hard,True,17,0.0,True,3,0.0
hard_motif_R2_001,R2,hard,True,2094,0.0,True,4,0.0
hard_motif_v1_ex1_002,v1_ex1,hard,True,262,0.0,True,61,0.0
hard_motif_L1_002,L1,hard,True,679,0.0,True,3,0.0
hard_motif_L3_002,L3,hard,True,9,0.0,True,4,0.0
hard_motif_P3_002,P3,hard,True,17,0.0,True,3,0.0
hard_motif_P4_002,P4,hard,True,530,0.0,True,34,0.0
hard_motif_R1_002,R1,hard,True,9,0.0,True,3,0.0
hard_motif_R2_002,R2,hard,True,9,0.0,True,4,0.0
hard_motif_v1_ex1_003,v1_ex1,hard,True,173,0.0,True,58,0.0
hard_motif_L1_003,L1,hard,True,12,0.0,True,3,0.0
hard_motif_L3_003,L3,hard,True,21,0.0,True,4,0.0
hard_motif_P3_003,P3,hard,True,45,0.0,True,3,0.0
hard_motif_P4_003,P4,hard,True,102,0.0,True,55,0.0
hard_motif_R1_003,R1,hard,True,9,0.0,True,3,0.0
hard_motif_R2_003,R2,hard,True,9,0.0,True,4,0.0
hard_motif_v1_ex1_004,v1_ex1,hard,True,1365,0.0,True,62,0.0
hard_motif_L1_004,L1,hard,True,1649,0.0,True,3,0.0
hard_motif_L3_004,L3,hard,True,10,0.0,True,4,0.0
hard_motif_P3_004,P3,hard,True,38,0.0,True,3,0.0
hard_motif_P4_004,P4,hard,True,520,1011157.0765999996,True,39,247881.76940000086
hard_motif_R1_004,R1,hard,True,9,2752.7233000000706,True,3,1608.579799999461
hard_motif_R2_004,R2,hard,True,9,3144.9244999994335,True,4,4421.6347999999925
hard_motif_v1_ex1_005,v1_ex1,hard,True,175,78668.9997000003,True,56,86392.50059999994
hard_motif_L1_005,L1,hard,True,16,4578.903000000537,True,3,1553.0274000002464
hard_motif_L3_005,L3,hard,True,1211,270074.34099999955,True,4,4567.549600000348
hard_motif_P3_005,P3,hard,True,26,12879.781200000252,True,2,2355.6361000000834
hard_motif_P4_005,P4,hard,True,159,261656.94770000028,True,43,349106.6908999992
hard_motif_R1_005,R1,hard,True,16,5211.008300000685,True,3,1850.7271999988006
hard_motif_R2_005,R2,hard,True,9,3295.2048999995895,True,3,2590.8300999999483
hard_motif_v1_ex1_006,v1_ex1,hard,True,236,114492.0220999993,True,48,60366.19360000077
hard_motif_L1_006,L1,hard,True,172,28074.624900000344,True,3,1567.7959999993618
hard_motif_L3_006,L3,hard,True,9,3017.2220000004017,True,4,4048.836100000699
hard_motif_P3_006,P3,hard,True,37,19985.839099999794,True,3,11846.327499999461
hard_motif_P4_006,P4,hard,True,14,16688.683099999253,True,50,317438.54889999965
hard_motif_R1_006,R1,hard,True,9,2813.163499999064,True,3,1610.5890000017098
hard_motif_R2_006,R2,hard,True,10,3511.178099999597,True,4,4752.352199999223
hard_motif_v1_ex1_007,v1_ex1,hard,True,136,59576.43910000115,True,58,83973.26989999965
lin01,linear,phase0,True,1,17.084400000385358,True,1,66.58489999972517
lin02,linear,phase0,True,5,185.26109999947948,True,4,406.7116000005626
lin03,linear,phase0,True,1,22.55169999989448,True,1,73.37749999896914
lin04,linear,phase0,True,6,245.95099999896775,True,3,369.233900000836
lin05,linear,phase0,True,1,28.452300000935793,True,1,80.92329999999492
qua01,quadratic,phase0,True,1,69.900399999824,True,1,148.3792999988509
qua02,quadratic,phase0,True,1,65.19800000023679,True,1,146.6524000006757
qua03,quadratic,phase0,True,17,417.64040000089153,True,13,2024.5259000002989
qua04,quadratic,phase0,True,2,547.7424999990035,False,50000,912.6349999987724
qua05,quadratic,phase0,True,19,2944.054400000823,True,8,2270.620699999199
rat01,rational,phase0,True,2,160.57280000131868,True,2,468.4628999984852
rat02,rational,phase0,True,3,92.75419999903534,True,6,744.6718999999575
rat03,rational,phase0,True,4,137.05529999970167,True,10,1368.2265999996162
rat04,rational,phase0,True,2,139.541200000167,True,2,457.29690000007395
rat05,rational,phase0,True,8,317.8828000000067,True,4,797.0117000004393
poly01,polynomial,phase0,True,1,102.50380000070436,True,1,193.4571000001597
poly02,polynomial,phase0,True,1,82.23390000057407,True,1,170.3977000015584
poly03,polynomial,phase0,True,1,81.23579999846697,True,1,180.19549999917217
poly04,polynomial,phase0,True,1,106.6489000004367,True,1,219.67200000108278
poly05,polynomial,phase0,True,1,69.1088999992644,True,1,121.34679999871878
