id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
hard_motif_v1_ex1_000,v1_ex1,hard,True,76,0.0,True,55,0.0
hard_motif_L1_000,L1,hard,True,16,0.0,True,3,0.0
hard_motif_L3_000,L3,hard,True,914,0.0,True,4,0.0
hard_motif_P3_000,P3,hard,True,886,0.0,True,3,0.0
hard_motif_P4_000,P4,hard,True,257,0.0,True,40,0.0
hard_motif_R1_000,R1,hard,True,9,0.0,True,3,0.0
hard_motif_R2_000,R2,hard,True,9,0.0,True,4,0.0
hard_motif_v1_ex1_001,v1_ex1,hard,True,163,0.0,True,58,0.0
hard_motif_L1_001,L1,hard,True,10,0.0,True,3,0.0
hard_motif_L3_001,L3,hard,True,9,0.0,True,4,0.0
hard_motif_P3_001,P3,hard,True,26,0.0,True,2,0.0
hard_motif_P4_001,P4,hard,True,258,0.0,True,45,0.0
hard_motif_R1_001,R1,hard,True,17,0.0,True,3,0.0
hard_motif_R2_001,R2,hard,True,2094,0.0,True,4,0.0
hard_motif_v1_ex1_002,v1_ex1,hard,True,262,0.0,True,61,0.0
hard_motif_L1_002,L1,hard,True,679,0.0,True,3,0.0
hard_motif_L3_002,L3,hard,True,9,0.0,True,4,0.0
hard_motif_P3_002,P3,hard,True,17,0.0,True,3,0.0
hard_motif_P4_002,P4,hard,True,530,0.0,True,34,0.0
hard_motif_R1_002,R1,hard,True,9,0.0,True,3,0.0
hard_motif_R2_002,R2,hard,True,9,0.0,True,4,0.0
hard_motif_v1_ex1_003,v1_ex1,hard,True,173,0.0,True,58,0.0
hard_motif_L1_003,L1,hard,True,12,0.0,True,3,0.0
hard_motif_L3_003,L3,hard,True,21,0.0,True,4,0.0
hard_motif_P3_003,P3,hard,True,45,0.0,True,3,0.0
hard_motif_P4_003,P4,hard,True,102,0.0,True,55,0.0
hard_motif_R1_003,R1,hard,True,9,0.0,True,3,0.0
hard_motif_R2_003,R2,hard,True,9,0.0,True,4,0.0
hard_motif_v1_ex1_004,v1_ex1,hard,True,1365,0.0,True,62,0.0
hard_motif_L1_004,L1,hard,True,1649,0.0,True,3,0.0
hard_motif_L3_004,L3,hard,True,10,0.0,True,4,0.0
hard_motif_P3_004,P3,hard,True,38,0.0,True,3,0.0
