id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
hard_motif_R2_001,R2,hard,True,2094,563599.757400003,True,3,4829.663700002129
hard_motif_P3_000,P3,hard,True,886,453227.0523000007,True,2,3075.025900001492
hard_motif_L1_004,L1,hard,True,1649,440471.55569999816,True,4,3914.0734000029624
hard_motif_L3_005,L3,hard,True,1211,278279.6970999989,True,4,4290.849799999705
hard_motif_L3_000,L3,hard,True,914,228502.63949999862,True,4,6066.979700000957
hard_motif_L1_002,L1,hard,True,679,168508.1233000019,True,3,2166.92250000051
hard_motif_v1_ex1_004,v1_ex1,hard,True,1365,257054.14499999824,True,36,51767.5221999998
hard_motif_L1_006,L1,hard,True,172,29936.04899999991,True,5,4147.323699999106
hard_motif_P4_004,P4,hard,True,520,960464.219399997,True,23,58938.4859999991
hard_motif_P3_003,P3,hard,True,45,24487.130499997875,True,2,2355.0950000026205
hard_motif_P4_002,P4,hard,True,530,947780.3749000013,True,25,87985.71699999957
hard_motif_P3_004,P3,hard,True,38,19524.735700000747,True,2,2583.863999996538
hard_motif_P3_006,P3,hard,True,37,21397.226899996895,True,2,2881.8086000028416
hard_motif_P3_001,P3,hard,True,26,13441.94029999926,True,2,2597.3489999996673
hard_motif_P3_005,P3,hard,True,26,20642.246300001716,True,2,3541.1201999995683
hard_motif_P4_000,P4,hard,True,257,455220.2921999997,True,20,69459.97910000006
hard_motif_P4_001,P4,hard,True,258,446738.49619999964,True,23,82963.48980000039
hard_motif_P3_002,P3,hard,True,17,6318.803499998467,True,2,2478.4862999986217
hard_motif_v1_ex1_002,v1_ex1,hard,True,262,152332.64209999834,True,36,61716.85339999749
hard_motif_v1_ex1_006,v1_ex1,hard,True,236,127377.79149999915,True,34,49388.25300000099
hard_motif_P4_005,P4,hard,True,159,303993.492900001,True,24,82349.40819999974
hard_motif_L3_003,L3,hard,True,21,5583.710599999904,True,4,4396.258000000671
hard_motif_P4_003,P4,hard,True,102,179480.39719999724,True,20,67801.3729000013
hard_motif_v1_ex1_005,v1_ex1,hard,True,175,86231.32899999837,True,36,61184.80649999765
hard_motif_v1_ex1_003,v1_ex1,hard,True,173,87520.56630000152,True,36,43137.03230000101
hard_motif_v1_ex1_001,v1_ex1,hard,True,163,81464.17030000157,True,36,45909.549300002254
hard_motif_L1_000,L1,hard,True,16,5131.68880000012,True,4,3095.398199999181
hard_motif_L1_005,L1,hard,True,16,5117.244299999584,True,4,3072.572400000354
hard_motif_v1_ex1_007,v1_ex1,hard,True,136,67290.62070000145,True,36,50439.91189999724
hard_motif_R1_005,R1,hard,True,16,5054.647000000841,True,5,4338.9552000007825
hard_motif_R1_000,R1,hard,True,9,2525.6197999988217,True,3,2366.009999997914
hard_motif_R1_002,R1,hard,True,9,3255.826900000102,True,3,2512.424699998519
hard_motif_L1_003,L1,hard,True,12,3003.5021000003326,True,4,2713.4163999980956
hard_motif_L3_004,L3,hard,True,10,4498.266099999455,True,4,5151.478100000531
hard_motif_R1_001,R1,hard,True,17,5060.239800001,True,7,6226.952599998185
hard_motif_R2_000,R2,hard,True,9,2839.9909999970987,True,4,4292.868100001215
hard_motif_L3_002,L3,hard,True,9,3099.801699998352,True,4,4701.362899999367
hard_motif_R2_003,R2,hard,True,9,5319.747300000017,True,4,6956.817300000694
hard_motif_L3_006,L3,hard,True,9,3263.8012999996135,True,4,4957.708099998854
hard_motif_v1_ex1_000,v1_ex1,hard,True,76,52257.8276000022,True,36,53766.08050000141
hard_motif_L1_001,L1,hard,True,10,3209.178500001144,True,5,3954.7560999999405
hard_motif_R2_006,R2,hard,True,10,3809.518300000491,True,5,6085.549600000377
hard_motif_L3_001,L3,hard,True,9,3264.991399999417,True,5,6173.511799999687
hard_motif_R1_003,R1,hard,True,9,3470.9709999988263,True,5,7343.191700001626
hard_motif_R2_005,R2,hard,True,9,3490.647099999478,True,5,8236.542400001781
hard_motif_R1_006,R1,hard,True,9,3760.1558999995177,True,5,4588.833699999668
hard_motif_R1_004,R1,hard,True,9,2866.6427999996813,True,6,5166.5275000013935
hard_motif_R2_002,R2,hard,True,9,3338.5438000004797,True,7,9159.440799998265
hard_motif_R2_004,R2,hard,True,9,3161.955900002795,True,8,10971.312499998021
hard_motif_P4_006,P4,hard,True,14,18082.793599998695,True,21,86792.90740000215
