id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
hard_motif_P3_005,P3,hard,True,26,20642.246300001716,True,2,3541.1201999995683
hard_motif_P4_005,P4,hard,True,159,303993.492900001,True,24,82349.40819999974
hard_motif_R1_005,R1,hard,True,16,5054.647000000841,True,5,4338.9552000007825
hard_motif_R2_005,R2,hard,True,9,3490.647099999478,True,5,8236.542400001781
hard_motif_v1_ex1_006,v1_ex1,hard,True,236,127377.79149999915,True,34,49388.25300000099
hard_motif_L1_006,L1,hard,True,172,29936.04899999991,True,5,4147.323699999106
hard_motif_L3_006,L3,hard,True,9,3263.8012999996135,True,4,4957.708099998854
hard_motif_P3_006,P3,hard,True,37,21397.226899996895,True,2,2881.8086000028416
hard_motif_P4_006,P4,hard,True,14,18082.793599998695,True,21,86792.90740000215
hard_motif_R1_006,R1,hard,True,9,3760.1558999995177,True,5,4588.833699999668
hard_motif_R2_006,R2,hard,True,10,3809.518300000491,True,5,6085.549600000377
hard_motif_v1_ex1_007,v1_ex1,hard,True,136,67290.62070000145,True,36,50439.91189999724
