id,family,source,hand_found,hand_nodes,hand_time_ms,learned_found,learned_nodes,learned_time_ms
lin01,linear,phase0,True,1,24.82639999652747,True,1,57.25189999793656
lin02,linear,phase0,True,5,264.34709999739425,True,5,490.8995000005234
lin03,linear,phase0,True,1,32.60819999559317,True,1,65.86560000141617
lin04,linear,phase0,True,6,294.80689999763854,True,8,1167.4084000042058
lin05,linear,phase0,True,1,30.335800001921598,True,1,75.92519999889191
qua01,quadratic,phase0,True,1,76.56110000243643,True,1,159.11120000237133
qua02,quadratic,phase0,True,1,77.6594999988447,True,1,149.94909999950323
qua03,quadratic,phase0,True,17,531.2387999947532,True,8,1505.643800002872
qua04,quadratic,phase0,True,2,600.0420999989728,True,10,6454.5645999969565
qua05,quadratic,phase0,True,19,3185.3382000044803,True,3,1115.7903999992413
rat01,rational,phase0,True,2,199.87969999783672,True,2,394.49140000215266
rat02,rational,phase0,True,3,134.45859999774257,True,13,1730.6517000033637
rat03,rational,phase0,True,4,160.24010000546696,True,11,1674.1700999991735
rat04,rational,phase0,True,2,184.59929999517044,True,2,309.05340000026627
rat05,rational,phase0,True,8,361.97760000504786,True,6,973.6880999989808
poly01,polynomial,phase0,True,1,120.8859999969718,True,1,227.42570000264095
poly02,polynomial,phase0,True,1,93.2336000041687,True,1,202.7585999967414
poly03,polynomial,phase0,True,1,98.46749999996973,True,1,182.307100003527
poly04,polynomial,phase0,True,1,128.5868000049959,True,1,251.76550000469433
poly05,polynomial,phase0,True,1,76.52600000437815,True,1,123.59149999974761
