problem_id,category,n_steps,depth_rate,ops_rate,leaves_rate,isolation_rate,composite_rate,composite_strict_rate
lin01,linear,2,1.0,1.0,1.0,1.0,1.0,0.5
lin02,linear,3,1.0,1.0,1.0,1.0,1.0,1.0
lin03,linear,2,1.0,1.0,1.0,1.0,1.0,1.0
lin04,linear,4,1.0,1.0,1.0,1.0,1.0,0.75
lin05,linear,4,1.0,1.0,1.0,1.0,1.0,1.0
qua01,quadratic,1,1.0,0.0,1.0,1.0,0.0,0.0
qua02,quadratic,1,0.0,1.0,1.0,1.0,0.0,0.0
qua03,quadratic,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0
qua04,quadratic,3,0.6666666666666666,0.6666666666666666,1.0,1.0,0.6666666666666666,0.3333333333333333
qua05,quadratic,4,0.75,0.5,1.0,1.0,0.5,0.5
rat01,rational,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
rat02,rational,4,1.0,1.0,1.0,1.0,1.0,0.75
rat03,rational,4,1.0,1.0,1.0,1.0,1.0,1.0
rat04,rational,3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
rat05,rational,5,1.0,1.0,1.0,1.0,1.0,0.8
poly01,polynomial,2,1.0,1.0,1.0,1.0,1.0,1.0
poly02,polynomial,2,1.0,0.5,0.0,0.5,0.0,0.0
poly03,polynomial,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333
poly04,polynomial,2,1.0,1.0,1.0,1.0,1.0,1.0
poly05,polynomial,2,0.5,0.5,0.0,0.0,0.0,0.0
