problem_id,category,is_variant,step_idx,expr,depth,ops,leaves,isolation,composite
lin01,linear,False,0,2*x + 3 = 7,3,2,3,1,-2.85990361751153
lin01,linear,False,1,2*x = 4,3,2,3,1,-2.85990361751153
lin01,linear,False,2,x = 2,2,1,2,0,-5.61523107926645
lin02,linear,False,0,5*x - 1*4 = 3*x + 8,3,2,4,2,-1.4410210028406838
lin02,linear,False,1,2*x - 1*4 = 8,3,2,4,1,-2.4665033515598553
lin02,linear,False,2,2*x = 12,3,2,3,1,-2.85990361751153
lin02,linear,False,3,x = 6,2,1,2,0,-5.61523107926645
lin03,linear,False,0,(x + 1)/2 = 3,4,4,5,1,-0.29075882040404266
lin03,linear,False,1,x + 1 = 6,2,1,2,1,-4.589748730547278
lin03,linear,False,2,x = 5,2,1,2,0,-5.61523107926645
lin04,linear,False,0,3*(x - 1*2) + 4 = 2*x + 1,5,5,7,2,2.8579689073025514
lin04,linear,False,1,3*x - 1*6 + 4 = 2*x + 1,2,1,3,2,-3.1708661158764317
lin04,linear,False,2,3*x - 1*2 = 2*x + 1,2,1,3,2,-3.1708661158764317
lin04,linear,False,3,x - 1*2 = 1,2,1,3,1,-4.196348464595603
lin04,linear,False,4,x = 3,2,1,2,0,-5.61523107926645
lin05,linear,False,0,7*x - 2*(x + 3) = 4,4,4,7,2,1.521524060218478
lin05,linear,False,1,-2*x + 7*x - 1*6 = 4,3,3,7,2,0.185079213134405
lin05,linear,False,2,5*x - 1*6 = 4,3,2,4,1,-2.4665033515598553
lin05,linear,False,3,5*x = 10,3,2,3,1,-2.85990361751153
lin05,linear,False,4,x = 2,2,1,2,0,-5.61523107926645
qua01,quadratic,False,0,x**2 - 5*x + 6 = 0,4,4,6,2,1.1281237942668034
qua01,quadratic,False,1,(x - 1*2)*(x - 1*3) = 0,4,5,6,2,1.574023212386868
qua02,quadratic,False,0,x**2 + 2*x - 1*3 = 0,3,4,6,2,0.2375783653027949
qua02,quadratic,False,1,(x + 3)*(x - 1*1) = 0,4,4,5,2,0.7347235283151287
qua03,quadratic,False,0,(x + 1)**2 = 4,4,3,4,1,-1.130058504475782
qua03,quadratic,False,1,x**2 + 2*x + 1 = 4,3,3,5,2,-0.6017213187689445
qua03,quadratic,False,2,x**2 + 2*x - 1*3 = 0,3,4,6,2,0.2375783653027949
qua03,quadratic,False,3,(x + 3)*(x - 1*1) = 0,4,4,5,2,0.7347235283151287
qua04,quadratic,False,0,x**2 - 4*x + 1 = 0,4,4,6,2,1.1281237942668034
qua04,quadratic,False,1,x**2 - 4*x = -1,3,3,6,2,-0.20832105281726976
qua04,quadratic,False,2,x**2 - 4*x + 4 = 3,3,3,6,2,-0.20832105281726976
qua04,quadratic,False,3,(x - 1*2)**2 = 3,5,4,5,1,0.599786608559966
qua05,quadratic,False,0,(x - 1*1)*(x - 1*2) = x - 1*1,5,7,9,3,5.562050624165201
qua05,quadratic,False,1,x**2 - 3*x + 2 = x - 1*1,3,4,8,3,2.0498612459253156
qua05,quadratic,False,2,x**2 - 4*x + 2 = -1,3,3,6,2,-0.20832105281726976
qua05,quadratic,False,3,x**2 - 4*x + 3 = 0,4,4,6,2,1.1281237942668034
qua05,quadratic,False,4,(x - 1*1)*(x - 1*3) = 0,4,5,6,2,1.574023212386868
rat01,rational,False,0,(x**2 - 1*1)/(x - 1*1) = 3,6,8,9,2,5.873013122530104
rat01,rational,False,1,(x + 1)*(x - 1*1)/(x - 1*1) = 3,6,8,10,3,7.29189573720095
rat01,rational,False,2,x + 1 = 3,2,1,2,1,-4.589748730547278
rat01,rational,False,3,x = 2,2,1,2,0,-5.61523107926645
rat02,rational,False,0,3 + 2/x = 5,4,3,4,1,-1.130058504475782
rat02,rational,False,1,2/x = 2,4,3,4,1,-1.130058504475782
rat02,rational,False,2,2 = 2*x,3,2,3,1,-2.85990361751153
rat02,rational,False,3,1 = x,3,2,3,0,-3.885385966230701
rat02,rational,False,4,x = 1,2,1,2,0,-5.61523107926645
rat03,rational,False,0,x/(x - 1*2) = 3,6,5,6,2,3.355114070314885
rat03,rational,False,1,x = 3*(x - 1*2),5,4,5,2,1.6252689572791374
rat03,rational,False,2,x = 3*x - 1*6,3,2,3,2,-1.8344212687923585
rat03,rational,False,3,-2*x = -6,3,2,3,1,-2.85990361751153
rat03,rational,False,4,x = 3,2,1,2,0,-5.61523107926645
rat04,rational,False,0,(x**2 - 1*9)/(x + 3) = 5,5,7,8,2,4.143168009494355
rat04,rational,False,1,(x + 3)*(x - 1*3)/(x + 3) = 5,5,7,9,3,5.562050624165201
rat04,rational,False,2,x - 1*3 = 5,2,1,3,1,-4.196348464595603
rat04,rational,False,3,x = 8,2,1,2,0,-5.61523107926645
rat05,rational,False,0,(2*x - 1*1)/(x + 1) = 1/2,5,7,8,2,4.143168009494355
rat05,rational,False,1,2*(2*x - 1*1) = 1*(x + 1),5,7,8,2,4.143168009494355
rat05,rational,False,2,4*x - 1*2 = x + 1,3,2,4,2,-1.4410210028406838
rat05,rational,False,3,3*x - 1*2 = 1,3,2,4,1,-2.4665033515598553
rat05,rational,False,4,3*x = 3,3,2,3,1,-2.85990361751153
rat05,rational,False,5,x = 1,2,1,2,0,-5.61523107926645
poly01,polynomial,False,0,x**3 - 6*x**2 + 11*x - 1*6 = 0,5,7,10,3,5.955450890116876
poly01,polynomial,False,1,(x - 1*1)*(x**2 - 5*x + 6) = 0,5,7,9,3,5.562050624165201
poly01,polynomial,False,2,(x - 1*1)*(x - 1*2)*(x - 1*3) = 0,4,7,9,3,4.671505195201193
poly02,polynomial,False,0,x**4 - 5*x**2 + 4 = 0,5,5,7,2,2.8579689073025514
poly02,polynomial,False,1,(x**2 - 1*1)*(x**2 - 1*4) = 0,4,7,8,2,3.252622580530347
poly02,polynomial,False,2,(x + 1)*(x + 2)*(x - 1*1)*(x - 1*2) = 0,4,7,10,4,6.090387809872039
poly03,polynomial,False,0,x**3 + x**2 - 4*x - 1*4 = 0,4,6,9,3,4.225605777081128
poly03,polynomial,False,1,x**2*(x + 1) - 4*(x + 1) = 0,5,7,8,3,5.168650358213526
poly03,polynomial,False,2,(x + 1)*(x**2 - 1*4) = 0,4,5,6,2,1.574023212386868
poly03,polynomial,False,3,(x + 1)*(x + 2)*(x - 1*2) = 0,4,5,7,3,2.9929058270577142
poly04,polynomial,False,0,2*x**3 - 5*x**2 - 4*x + 3 = 0,5,8,11,3,6.794750574188616
poly04,polynomial,False,1,(x + 1)*(2*x**2 - 7*x + 3) = 0,5,7,9,3,5.562050624165201
poly04,polynomial,False,2,(x + 1)*(x - 1*3)*(2*x - 1*1) = 0,4,7,9,3,4.671505195201193
poly05,polynomial,False,0,x**4 - 1*1 = 0,3,3,4,1,-2.0206039334397907
poly05,polynomial,False,1,(x**2 + 1)*(x**2 - 1*1) = 0,4,6,7,2,2.4133228964586078
poly05,polynomial,False,2,(x + 1)*(x - 1*1)*(x**2 + 1) = 0,4,6,8,3,3.8322055111294535
