problem_id,category,is_variant,step_idx,expr,depth,ops,leaves,isolation,composite
lin01_var1_addperm,linear,True,0,2*x + 3 = 7,3,2,3,1,-2.6300813863060815
lin01_var1_addperm,linear,True,1,2*x = 4,3,2,3,1,-2.6300813863060815
lin01_var1_addperm,linear,True,2,x = 2,2,1,2,0,-5.4618648424739735
lin01_var2_mulperm,linear,True,0,x*2 + 3 = 7,3,2,3,1,-2.6300813863060815
lin01_var2_mulperm,linear,True,1,x*2 = 4,3,2,3,1,-2.6300813863060815
lin01_var2_mulperm,linear,True,2,x = 2,2,1,2,0,-5.4618648424739735
lin01_var3_rename,linear,True,0,2*y + 3 = 7,3,2,3,1,-2.6300813863060815
lin01_var3_rename,linear,True,1,2*y = 4,3,2,3,1,-2.6300813863060815
lin01_var3_rename,linear,True,2,y = 2,2,1,2,0,-5.4618648424739735
lin02_var1_addperm,linear,True,0,5*x - 1*4 = 3*x + 8,3,2,4,2,-1.1972494506937423
lin02_var1_addperm,linear,True,1,2*x - 1*4 = 8,3,2,4,1,-2.2265499216250735
lin02_var1_addperm,linear,True,2,2*x = 12,3,2,3,1,-2.6300813863060815
lin02_var1_addperm,linear,True,3,x = 6,2,1,2,0,-5.4618648424739735
lin02_var2_mulperm,linear,True,0,x*5 - 1*4 = 3*x + 8,3,3,6,2,0.07870121250824252
lin02_var2_mulperm,linear,True,1,x*2 + 4*(-1) = 8,3,2,4,1,-2.2265499216250735
lin02_var2_mulperm,linear,True,2,2*x = 12,3,2,3,1,-2.6300813863060815
lin02_var2_mulperm,linear,True,3,x = 6,2,1,2,0,-5.4618648424739735
lin02_var3_rename,linear,True,0,5*y - 4 = 3*y + 8,3,2,3,2,-1.6007809153747503
lin02_var3_rename,linear,True,1,2*y - 4 = 8,3,2,3,1,-2.6300813863060815
lin02_var3_rename,linear,True,2,2*y = 12,3,2,3,1,-2.6300813863060815
lin02_var3_rename,linear,True,3,y = 6,2,1,2,0,-5.4618648424739735
lin03_var1_addperm,linear,True,0,(x + 1)/2 = 3,4,4,5,1,0.04482079745145606
lin03_var1_addperm,linear,True,1,x + 1 = 6,2,1,2,1,-4.432564371542642
lin03_var1_addperm,linear,True,2,x = 5,2,1,2,0,-5.4618648424739735
lin03_var2_mulperm,linear,True,0,(x + 1)/2 = 3,4,4,5,1,0.04482079745145606
lin03_var2_mulperm,linear,True,1,x + 1 = 6,2,1,2,1,-4.432564371542642
lin03_var2_mulperm,linear,True,2,x = 5,2,1,2,0,-5.4618648424739735
lin03_var3_rename,linear,True,0,y/2 + 1/2 = 3,3,2,3,1,-2.6300813863060815
lin03_var3_rename,linear,True,1,y + 1 = 6,2,1,2,1,-4.432564371542642
lin03_var3_rename,linear,True,2,y = 5,2,1,2,0,-5.4618648424739735
lin04_var1_addperm,linear,True,0,3*(x - 1*2) + 4 = 2*x + 1,5,5,7,2,3.2801357183003557
lin04_var1_addperm,linear,True,1,3*x - 1*6 + 4 = 2*x + 1,2,1,3,2,-2.9997324359303033
lin04_var1_addperm,linear,True,2,3*x - 1*2 = 2*x + 1,2,1,3,2,-2.9997324359303033
lin04_var1_addperm,linear,True,3,x - 1*2 = 1,2,1,3,1,-4.029032906861634
lin04_var1_addperm,linear,True,4,x = 3,2,1,2,0,-5.4618648424739735
lin04_var2_mulperm,linear,True,0,3*(x - 1*2) + 4 = 2*x + 1,5,5,7,2,3.2801357183003557
lin04_var2_mulperm,linear,True,1,3*x + 6*(-1) + 4 = x*2 + 1,3,3,7,2,0.48223267718925056
lin04_var2_mulperm,linear,True,2,x*3 - 1*2 = x*2 + 1,3,3,7,2,0.48223267718925056
lin04_var2_mulperm,linear,True,3,x + 2*(-1) = 1,2,1,3,1,-4.029032906861634
lin04_var2_mulperm,linear,True,4,x = 3,2,1,2,0,-5.4618648424739735
lin04_var3_rename,linear,True,0,3*y - 2 = 2*y + 1,2,1,2,2,-3.403263900611311
lin04_var3_rename,linear,True,1,3*y - 6 + 4 = 2*y + 1,2,1,2,2,-3.403263900611311
lin04_var3_rename,linear,True,2,3*y - 2 = 2*y + 1,2,1,2,2,-3.403263900611311
lin04_var3_rename,linear,True,3,y - 2 = 1,2,1,2,1,-4.432564371542642
lin04_var3_rename,linear,True,4,y = 3,2,1,2,0,-5.4618648424739735
lin05_var1_addperm,linear,True,0,7*x - 2*(x + 3) = 4,4,4,7,2,1.8811841977448032
lin05_var1_addperm,linear,True,1,-2*x + 7*x - 1*6 = 4,3,3,7,2,0.48223267718925056
lin05_var1_addperm,linear,True,2,5*x - 1*6 = 4,3,2,4,1,-2.2265499216250735
lin05_var1_addperm,linear,True,3,5*x = 10,3,2,3,1,-2.6300813863060815
lin05_var1_addperm,linear,True,4,x = 2,2,1,2,0,-5.4618648424739735
lin05_var2_mulperm,linear,True,0,7*x + ((x + 3)*2)*(-1) = 4,5,5,7,2,3.2801357183003557
lin05_var2_mulperm,linear,True,1,x*7 + (x*2)*(-1) + 6*(-1) = 4,4,4,7,2,1.8811841977448032
lin05_var2_mulperm,linear,True,2,5*x + 6*(-1) = 4,3,2,4,1,-2.2265499216250735
lin05_var2_mulperm,linear,True,3,5*x = 10,3,2,3,1,-2.6300813863060815
lin05_var2_mulperm,linear,True,4,x = 2,2,1,2,0,-5.4618648424739735
lin05_var3_rename,linear,True,0,5*y - 6 = 4,3,2,3,1,-2.6300813863060815
lin05_var3_rename,linear,True,1,5*y - 6 = 4,3,2,3,1,-2.6300813863060815
lin05_var3_rename,linear,True,2,5*y - 6 = 4,3,2,3,1,-2.6300813863060815
lin05_var3_rename,linear,True,3,5*y = 10,3,2,3,1,-2.6300813863060815
lin05_var3_rename,linear,True,4,y = 2,2,1,2,0,-5.4618648424739735
qua01_var1_addperm,quadratic,True,0,x**2 - 5*x + 6 = 0,4,4,6,2,1.4776527330637952
qua01_var1_addperm,quadratic,True,1,(x - 1*2)*(x - 1*3) = 0,4,5,6,2,1.9465404669037636
qua01_var2_mulperm,quadratic,True,0,x**2 + (x*5)*(-1) + 6 = 0,4,4,6,2,1.4776527330637952
qua01_var2_mulperm,quadratic,True,1,(x + 3*(-1))*(x - 1*2) = 0,4,5,6,2,1.9465404669037636
qua01_var3_rename,quadratic,True,0,y**2 - 5*y + 6 = 0,3,3,5,2,-0.3248302521727656
qua01_var3_rename,quadratic,True,1,(y - 3)*(y - 2) = 0,3,3,4,2,-0.7283617168537737
qua02_var1_addperm,quadratic,True,0,x**2 + 2*x - 1*3 = 0,3,4,6,2,0.5475889463482111
qua02_var1_addperm,quadratic,True,1,(x + 3)*(x - 1*1) = 0,4,4,5,2,1.074121268382787
qua02_var2_mulperm,quadratic,True,0,x**2 + 2*x - 1*3 = 0,3,4,6,2,0.5475889463482111
qua02_var2_mulperm,quadratic,True,1,(x + 3)*(x + 1*(-1)) = 0,4,4,5,2,1.074121268382787
qua02_var3_rename,quadratic,True,0,y**2 + 2*y - 3 = 0,3,3,5,2,-0.3248302521727656
qua02_var3_rename,quadratic,True,1,(y - 1)*(y + 3) = 0,3,3,4,2,-0.7283617168537737
qua03_var1_addperm,quadratic,True,0,(x + 1)**2 = 4,4,3,4,1,-0.8275984010695207
qua03_var1_addperm,quadratic,True,1,x**2 + 2*x + 1 = 4,3,3,5,2,-0.3248302521727656
qua03_var1_addperm,quadratic,True,2,x**2 + 2*x - 1*3 = 0,3,4,6,2,0.5475889463482111
qua03_var1_addperm,quadratic,True,3,(x + 3)*(x - 1*1) = 0,4,4,5,2,1.074121268382787
qua03_var2_mulperm,quadratic,True,0,(x + 1)**2 = 4,4,3,4,1,-0.8275984010695207
qua03_var2_mulperm,quadratic,True,1,x**2 + x*2 + 1 = 4,3,3,5,2,-0.3248302521727656
qua03_var2_mulperm,quadratic,True,2,x**2 + x*2 + 3*(-1) = 0,3,4,6,2,0.5475889463482111
qua03_var2_mulperm,quadratic,True,3,(x + 3)*(x + 1*(-1)) = 0,4,4,5,2,1.074121268382787
qua03_var3_rename,quadratic,True,0,(y + 1)**2 = 4,4,3,4,1,-0.8275984010695207
qua03_var3_rename,quadratic,True,1,y**2 + 2*y + 1 = 4,3,3,5,2,-0.3248302521727656
qua03_var3_rename,quadratic,True,2,y**2 + 2*y - 3 = 0,3,3,5,2,-0.3248302521727656
qua03_var3_rename,quadratic,True,3,(y - 1)*(y + 3) = 0,3,3,4,2,-0.7283617168537737
qua04_var1_addperm,quadratic,True,0,x**2 - 4*x + 1 = 0,4,4,6,2,1.4776527330637952
qua04_var1_addperm,quadratic,True,1,x**2 - 4*x = -1,3,3,6,2,0.07870121250824252
